national_number,gen,Name,primary_type,secondary_type,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,abilities_0,abilities_1,abilities_2,abilities_hidden,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,is_sublegendary,is_legendary,is_mythical,gigantamax,mega_evolution,mega_evolution_alt
92,I,Gastly,ghost,poison,50.2,49.8,1.3,0.1,190,5120,30,35,30,100,35,80,Levitate,,,,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,2.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5,0,0,0,,,
93,I,Haunter,ghost,poison,50.2,49.8,1.6,0.1,90,5120,45,50,45,115,55,95,Levitate,,,,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,2.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5,0,0,0,,,
94,I,Gengar,ghost,poison,50.2,49.8,1.5,40.5,45,5120,60,65,60,130,75,110,Cursed Body,,,,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,2.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5,0,0,0,Gigantamax Gengar,Mega Gengar,
95,I,Onix,rock,ground,50.2,49.8,8.8,210.0,45,6400,35,45,160,30,45,70,Rock Head,Sturdy,,Weak Armor,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,0,0,0,,,
96,I,Drowzee,psychic,,50,50,1.0,32.4,190,5120,60,48,45,43,90,42,Insomnia,Forewarn,,Inner Focus,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0,0,0,,,
97,I,Hypno,psychic,,50,50,1.6,75.6,75,5120,85,73,70,73,115,67,Insomnia,Forewarn,,Inner Focus,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0,0,0,,,
98,I,Krabby,water,,50.2,49.8,0.4,6.5,225,5120,30,105,90,25,25,50,Hyper Cutter,Shell Armor,,Sheer Force,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
99,I,Kingler,water,,50.2,49.8,1.3,60.0,60,5120,55,130,115,50,50,75,Hyper Cutter,Shell Armor,,Sheer Force,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,Gigantamax Kingler,,
100,I,Voltorb,electric,,,,0.5,10.4,190,5120,40,30,50,55,55,100,Soundproof,Static,,Aftermath,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
101,I,Electrode,electric,,,,1.2,66.6,60,5120,60,50,70,80,80,150,Soundproof,Static,,Aftermath,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
102,I,Exeggcute,grass,psychic,50.2,49.8,0.4,2.5,90,5120,60,40,80,60,45,40,Chlorophyll,,,Harvest,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0,0,0,0,,,
103,I,Exeggutor,grass,psychic,50.2,49.8,2.0,120.0,45,5120,95,95,85,125,75,55,Chlorophyll,,,Frisk- Harvest,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0,0,0,0,,,
104,I,Cubone,ground,,50.2,49.8,0.4,6.5,190,5120,50,50,95,40,50,35,Rock Head,Lightning Rod,,Battle Armor,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0,0,0,,,
105,I,Marowak,ground,fire,50.2,49.8,1.0,45.0,75,5120,60,80,110,50,80,45,Rock Head,Lightning Rod,,Battle Armor,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0,0,0,,,
106,I,Hitmonlee,fighting,,100,0,1.5,49.8,45,6400,50,120,53,35,110,87,Limber,Reckless,,Unburden,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,0,0,0,,,
107,I,Hitmonchan,fighting,,100,0,1.4,50.2,45,6400,50,105,79,35,110,76,Keen Eye,Iron Fist,,Inner Focus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,0,0,0,,,
108,I,Lickitung,normal,,50.2,49.8,1.2,65.5,45,5120,90,55,75,60,75,30,Own Tempo,Oblivious,,Cloud Nine,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,,,
109,I,Koffing,poison,,50.2,49.8,0.6,1.0,190,5120,40,65,95,60,45,35,Levitate,Neutralizing Gas,,Stench,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
110,I,Weezing,poison,poison,50.2,49.8,1.2,9.5,60,5120,65,90,120,85,70,60,Levitate,Neutralizing Gas,,Stench,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
111,I,Rhyhorn,ground,rock,50.2,49.8,1.0,115.0,120,5120,80,85,95,30,30,25,Lightning Rod,Rock Head,,Reckless,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,0,0,0,,,
112,I,Rhydon,ground,rock,50.2,49.8,1.9,120.0,60,5120,105,130,120,45,45,40,Lightning Rod,Rock Head,,Reckless,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,0,0,0,,,
113,I,Chansey,normal,,0,100,1.1,34.6,30,10240,250,5,5,35,105,50,Natural Cure,Serene Grace,,Healer,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,,,
114,I,Tangela,grass,,50.2,49.8,1.0,35.0,45,5120,65,55,115,100,40,60,Chlorophyll,Leaf Guard,,Regenerator,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,
115,I,Kangaskhan,normal,,0,100,2.2,80.0,45,5120,105,95,80,40,80,90,Early Bird,Scrappy,,Inner Focus,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,,Mega Kangaskhan,
116,I,Horsea,water,,50.2,49.8,0.4,8.0,225,5120,30,40,70,70,25,60,Swift Swim,Sniper,,Damp,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
117,I,Seadra,water,,50.2,49.8,1.2,25.0,75,5120,55,65,95,95,45,85,Poison Point,Sniper,,Damp,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
118,I,Goldeen,water,,50.2,49.8,0.6,15.0,225,5120,45,67,60,35,50,63,Swift Swim,Water Veil,,Lightning Rod,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
119,I,Seaking,water,,50.2,49.8,1.3,39.0,60,5120,80,92,65,65,80,68,Swift Swim,Water Veil,,Lightning Rod,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
120,I,Staryu,water,,,,0.8,34.5,225,5120,30,45,55,70,55,85,Illuminate,Natural Cure,,Analytic,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
121,I,Starmie,water,psychic,,,1.1,80.0,60,5120,60,75,85,100,85,115,Illuminate,Natural Cure,,Analytic,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,0,0,0,,,
122,I,Mr. Mime,psychic,fairy,50.2,49.8,1.3,54.5,45,6400,40,45,65,100,120,90,Soundproof,Filter,,Technician,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0,0,0,,,
123,I,Scyther,bug,flying,50.2,49.8,1.5,56.0,45,6400,70,110,80,55,80,105,Swarm,Technician,,Steadfast,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,
124,I,Jynx,ice,psychic,0,100,1.4,40.6,45,6400,65,50,35,115,95,95,Oblivious,Forewarn,,Dry Skin,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0,0,0,,,
125,I,Electabuzz,electric,,75.49,24.51,1.1,30.0,45,6400,65,83,57,95,85,105,Static,,,Vital Spirit,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
126,I,Magmar,fire,,75.49,24.51,1.3,44.5,45,6400,65,95,57,100,85,93,Flame Body,,,Vital Spirit,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,0,0,,,
127,I,Pinsir,bug,,50.2,49.8,1.5,55.0,45,6400,65,125,100,55,70,85,Hyper Cutter,Mold Breaker,,Moxie,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,Mega Pinsir,
128,I,Tauros,normal,,100,0,1.4,88.4,45,5120,75,100,95,40,70,110,Intimidate,Anger Point,,Sheer Force,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,,,
129,I,Magikarp,water,,50.2,49.8,0.9,10.0,255,1280,20,10,55,15,20,80,Swift Swim,,,Rattled,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
130,I,Gyarados,water,flying,50.2,49.8,6.5,235.0,45,1280,95,125,79,60,100,81,Intimidate,,,Moxie,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,Mega Gyarados,
131,I,Lapras,water,ice,50.2,49.8,2.5,220.0,45,10240,130,85,80,85,95,60,Water Absorb,Shell Armor,,Hydration,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0,0,0,Gigantamax Lapras,,
132,I,Ditto,normal,,,,0.3,4.0,35,5120,48,48,48,48,48,48,Limber,,,Imposter,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,,,
133,I,Eevee,normal,,88.14,11.86,0.3,6.5,45,8960,55,55,50,45,65,55,Run Away,Adaptability,,Anticipation,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Gigantamax Eevee,,
134,I,Vaporeon,water,,88.14,11.86,1.0,29.0,45,8960,130,65,60,110,95,65,Water Absorb,,,Hydration,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
135,I,Jolteon,electric,,88.14,11.86,0.8,24.5,45,8960,65,65,60,110,95,130,Volt Absorb,,,Quick Feet,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
136,I,Flareon,fire,,88.14,11.86,0.9,25.0,45,8960,65,130,60,95,110,65,Flash Fire,,,Guts,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,0,0,,,
137,I,Porygon,normal,,,,0.8,36.5,45,5120,65,60,70,85,75,40,Trace,Download,,Analytic,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,,,
138,I,Omanyte,rock,water,88.14,11.86,0.4,7.5,45,7680,35,40,100,90,55,35,Swift Swim,Shell Armor,,Weak Armor,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,
139,I,Omastar,rock,water,88.14,11.86,1.0,35.0,45,7680,70,60,125,115,70,55,Swift Swim,Shell Armor,,Weak Armor,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,
140,I,Kabuto,rock,water,88.14,11.86,0.5,11.5,45,7680,30,80,90,55,45,55,Swift Swim,Battle Armor,,Weak Armor,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,
141,I,Kabutops,rock,water,88.14,11.86,1.3,40.5,45,7680,60,115,105,65,70,80,Swift Swim,Battle Armor,,Weak Armor,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,
142,I,Aerodactyl,rock,flying,88.14,11.86,1.8,59.0,45,8960,80,105,65,60,75,130,Rock Head,Pressure,,Unnerve,0.5,0.5,2.0,2.0,1.0,2.0,1.0,0.5,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0,0,0,,Mega Aerodactyl,
143,I,Snorlax,normal,,88.14,11.86,2.1,460.0,25,10240,160,110,65,65,110,30,Immunity,Thick Fat,,Gluttony,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Gigantamax Snorlax,,
144,I,Articuno,ice,flying,,,1.7,55.4,3,20480,90,85,100,95,125,85,Pressure,Competitive (Galarian Form),,Snow Cloak,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,2.0,1.0,1,0,0,,,
145,I,Zapdos,electric,flying,,,1.6,52.6,3,20480,90,90,85,125,90,100,Pressure,Defiant (Galarian Form),,Static,1.0,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1,0,0,,,
146,I,Moltres,fire,flying,,,2.0,60.0,3,20480,90,100,90,125,85,90,Pressure,Berserk (Galarian Form),,Flame Body,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,1,0,0,,,
147,I,Dratini,dragon,,50.2,49.8,1.8,3.3,45,10240,41,64,45,50,50,50,Shed Skin,,,Marvel Scale,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0,0,0,,,
148,I,Dragonair,dragon,,50.2,49.8,4.0,16.5,45,10240,61,84,65,70,70,70,Shed Skin,,,Marvel Scale,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0,0,0,,,
149,I,Dragonite,dragon,flying,50.2,49.8,2.2,210.0,45,10240,91,134,95,100,100,80,Inner Focus,,,Multiscale,1.0,0.5,0.5,1.0,0.25,4.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,0,0,0,,,
150,I,Mewtwo,psychic,,,,2.0,122.0,3,30720,106,110,90,154,90,130,Pressure,,,Unnerve,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0,1,0,,Mega Mewtwo X,Mega Mewtwo Y
151,I,Mew,psychic,,,,0.4,4.0,45,30720,100,100,100,100,100,100,Synchronize,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0,0,1,,,
152,II,Chikorita,grass,,88.1,11.9,0.9,6.4,45,5120,45,49,65,49,65,45,Overgrow,,,Leaf Guard,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,
153,II,Bayleef,grass,,88.1,11.9,1.2,15.8,45,5120,60,62,80,63,80,60,Overgrow,,,Leaf Guard,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,
154,II,Meganium,grass,,88.1,11.9,1.8,100.5,45,5120,80,82,100,83,100,80,Overgrow,,,Leaf Guard,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,
155,II,Cyndaquil,fire,,88.1,11.9,0.5,7.9,45,5120,39,52,43,60,50,65,Blaze,,,Flash Fire,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,0,0,,,
156,II,Quilava,fire,,88.1,11.9,0.9,19.0,45,5120,58,64,58,80,65,80,Blaze,,,Flash Fire,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,0,0,,,
157,II,Typhlosion,fire,,88.1,11.9,1.7,79.5,45,5120,78,84,78,109,85,100,Blaze,,,Flash Fire,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,0,0,,,
158,II,Totodile,water,,88.1,11.9,0.6,9.5,45,5120,50,65,64,44,48,43,Torrent,,,Sheer Force,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
159,II,Croconaw,water,,88.1,11.9,1.1,25.0,45,5120,65,80,80,59,63,58,Torrent,,,Sheer Force,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
160,II,Feraligatr,water,,88.1,11.9,2.3,88.8,45,5120,85,105,100,79,83,78,Torrent,,,Sheer Force,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
161,II,Sentret,normal,,50,50,0.8,6.0,255,3840,35,46,34,35,45,20,Run Away,Keen Eye,,Frisk,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,,,
162,II,Furret,normal,,50,50,1.8,32.5,90,3840,85,76,64,45,55,90,Run Away,Keen Eye,,Frisk,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,,,
163,II,Hoothoot,normal,flying,50.2,49.8,0.7,21.2,255,3840,60,30,30,36,56,50,Insomnia,Keen Eye,,Tinted Lens,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,0,0,,,
164,II,Noctowl,normal,flying,50.2,49.8,1.6,40.8,90,3840,100,50,50,86,96,70,Insomnia,Keen Eye,,Tinted Lens,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,0,0,,,
165,II,Ledyba,bug,flying,50,50,1.0,10.8,255,3840,40,20,30,40,80,55,Swarm,Early Bird,,Rattled,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,
166,II,Ledian,bug,flying,50,50,1.4,35.6,90,3840,55,35,50,55,110,85,Swarm,Early Bird,,Iron Fist,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,
167,II,Spinarak,bug,poison,50,50,0.5,8.5,255,3840,40,60,40,40,40,30,Swarm,Insomnia,,Sniper,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
168,II,Ariados,bug,poison,50,50,1.1,33.5,90,3840,70,90,70,60,70,40,Swarm,Insomnia,,Sniper,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
169,II,Crobat,poison,flying,50.2,49.8,1.8,75.0,90,3840,85,90,80,70,80,130,Inner Focus,,,Infiltrator,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
170,II,Chinchou,water,electric,50.2,49.8,0.5,12.0,190,5120,75,38,38,56,56,67,Volt Absorb,Illuminate,,Water Absorb,1.0,0.5,0.5,1.0,2.0,0.5,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0,0,0,,,
171,II,Lanturn,water,electric,50.2,49.8,1.2,22.5,75,5120,125,58,58,76,76,67,Volt Absorb,Illuminate,,Water Absorb,1.0,0.5,0.5,1.0,2.0,0.5,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0,0,0,,,
172,II,Pichu,electric,,50.2,49.8,0.3,2.0,190,2560,20,40,15,35,35,60,Static,,,Lightning Rod,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
173,II,Cleffa,fairy,,24.9,75.1,0.3,3.0,150,2560,50,25,28,45,55,15,Cute Charm,Magic Guard,,Friend Guard,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,0,0,0,,,
174,II,Igglybuff,normal,fairy,24.9,75.1,0.3,1.0,170,2560,90,30,15,40,20,15,Cute Charm,Competitive,,Friend Guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,0,0,0,,,
175,II,Togepi,fairy,,88.14,11.86,0.3,1.5,190,2560,35,20,65,40,65,20,Hustle,Serene Grace,,Super Luck,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,0,0,0,,,
176,II,Togetic,fairy,flying,88.14,11.86,0.6,3.2,75,2560,55,40,85,80,105,40,Hustle,Serene Grace,,Super Luck,1.0,1.0,1.0,2.0,0.5,2.0,0.25,2.0,0.0,1.0,1.0,0.25,2.0,1.0,0.0,0.5,2.0,1.0,0,0,0,,,
177,II,Natu,psychic,flying,50.2,49.8,0.2,2.0,190,5120,40,50,45,70,45,70,Synchronize,Early Bird,,Magic Bounce,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0,0,0,,,
178,II,Xatu,psychic,flying,50.2,49.8,1.5,15.0,75,5120,65,75,70,95,70,95,Synchronize,Early Bird,,Magic Bounce,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0,0,0,,,
179,II,Mareep,electric,,50,50,0.6,7.8,235,5120,55,40,40,65,45,35,Static,,,Plus,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
180,II,Flaaffy,electric,,50,50,0.8,13.3,120,5120,70,55,55,80,60,45,Static,,,Plus,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
181,II,Ampharos,electric,,50,50,1.4,61.5,45,5120,90,75,85,115,90,55,Static,,,Plus,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,Mega Ampharos,
182,II,Bellossom,grass,,50.2,49.8,0.4,5.8,45,5120,75,80,95,90,100,50,Chlorophyll,,,Healer,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,
183,II,Marill,water,fairy,50.2,49.8,0.4,8.5,190,2560,70,20,50,20,50,40,Thick Fat,Huge Power,,Sap Sipper,1.0,0.5,0.5,2.0,2.0,0.5,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,0,0,0,,,
184,II,Azumarill,water,fairy,50.2,49.8,0.8,28.5,75,2560,100,50,80,60,80,50,Thick Fat,Huge Power,,Sap Sipper,1.0,0.5,0.5,2.0,2.0,0.5,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,0,0,0,,,
185,II,Sudowoodo,rock,,50.2,49.8,1.2,38.0,65,5120,70,100,115,30,65,30,Sturdy,Rock Head,,Rattled,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0,0,0,,,
